,KIC
1978,3128074
1979,3128078
1980,3128118
1981,3128129
1982,3128226
1983,3128281
1984,3128427
1985,3128488
1986,3128502
1987,3128552
1988,3128554
1989,3128576
1990,3128691
1991,3128958
1992,3129064
1993,3129220
1994,3129238
1995,3129239
1996,3129279
1997,3129506
1998,3129566
1999,3129710
2000,3130220
2001,3130343
2002,3130345
2003,3130350
2004,3130373
2005,3130425
2006,3130548
2007,3130915
2008,3130963
2009,3215660
2010,3215765
2011,3215851
2012,3215855
2013,3215929
2014,3216299
2015,3216514
2016,3216554
2017,3216556
2018,3216632
2019,3216671
2020,3216708
2021,3216838
2022,3216952
2023,3216960
2024,3216963
2025,3217078
2026,3217113
2027,3217161
2028,3217178
2029,3217238
2030,3217264
2031,3217410
2032,3217449
2033,3217462
2034,3217512
2035,3217599
2036,3217743
2037,3217751
2038,3217754
2039,3217852
2040,3217885
2041,3217918
2042,3217974
2043,3218489
2044,3218670
2045,3218795
2046,3218831
2047,3218844
2048,3218952
2049,3219027
2050,3219040
2051,3219060
2052,3219127
2053,3219278
2054,3219324
2055,3219343
2056,3219558
2057,3219612
2058,3219619
2059,3219643
2060,3219798
2061,3219941
2062,3220757
2063,3220836
2064,3220938
2065,3221013
2066,3221162
2067,3221294
2068,3221420
2069,3221442
2070,3221510
2071,3221535
2072,3221538
2073,3221541
2074,3221710
2075,3221755
2076,3221804
2077,3221824
2078,3221889
2079,3221915
2080,3221957
2081,3221975
2082,3221981
2083,3222027
2084,3222080
2085,3222103
2086,3222192
2087,3222369
2088,3222388
2089,3222400
2090,3222441
2091,3222471
2092,3222491
2093,3222558
2094,3222582
2095,3222610
2096,3222622
2097,3222875
2098,3222908
2099,3223218
2100,3223524
2101,3223680
2102,3228466
2103,3228504
2104,3228508
2105,3228611
2106,3228715
2107,3228752
2108,3228804
2109,3228824
2110,3228959
2111,3229150
2112,3229222
2113,3229346
2114,3229363
2115,3229512
2116,3229540
2117,3229678
2118,3229769
2119,3229879
2120,3229908
2121,3230009
2122,3230022
2123,3230048
2124,3230050
2125,3230069
2126,3230095
2127,3230243
2128,3230300
2129,3230356
2130,3230358
2131,3230383
2132,3230491
2133,3230640
2134,3230805
2135,3230903
2136,3231109
2137,3231203
2138,3231250
2139,3231258
